,Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id
198,29,138.09,7303,8527,41.97,85.64,143,18,8,43,18,Zimbabwe,Bulawayo,1355,35320
199,2,33.33,7305,8533,41.74,85.60,143,18,8,43,18,Zimbabwe,Harare,1356,35320
200,141,110.15,7446,8661,42.30,85.97,143,18,8,43,19,Australia,Dhaka,1360,35320
201,8,57.14,7454,8675,42.11,85.92,143,18,8,43,19,West Indies,Dhaka,1363,35320
202,3,50.00,7457,8681,41.89,85.90,143,18,8,43,19,Sri Lanka,Sharjah,1366,35320
203,118*,105.35,7575,8793,42.55,86.14,143,19,8,43,20,Zimbabwe,Sharjah,1369,35320
204,18,64.28,7593,8821,42.41,86.07,143,19,8,43,20,Sri Lanka,Sharjah,1370,35320
205,11,91.66,7604,8833,42.24,86.08,143,19,8,43,20,Zimbabwe,Sharjah,1373,35320
206,124*,134.78,7728,8925,42.93,86.58,143,20,8,43,21,Zimbabwe,Sharjah,1374,35320
207,0,0.00,7728,8930,42.69,86.53,143,20,9,43,21,New Zealand,Taupo,1378,35320
208,23,121.05,7751,8949,42.58,86.61,143,20,9,43,21,New Zealand,Napier,1381,35320
209,45,107.14,7796,8991,42.60,86.70,143,20,9,43,21,New Zealand,Wellington,1383,35320
210,5,41.66,7801,9003,42.39,86.64,143,20,9,43,21,New Zealand,Auckland,1385,35320
211,28,60.86,7829,9049,42.31,86.51,143,20,9,43,21,South Africa,Hove,1444,35320
212,140*,138.61,7969,9150,43.07,87.09,143,21,9,43,22,Kenya,Bristol,1457,35320
213,2,66.66,7971,9153,42.85,87.08,143,21,9,43,22,Sri Lanka,Taunton,1463,35320
214,22,55.00,7993,9193,42.74,86.94,143,21,9,43,22,England,Birmingham,1467,35320
215,0,0.00,7993,9197,42.51,86.90,143,21,10,43,22,Australia,The Oval,1473,35320
216,45,69.23,8038,9262,42.52,86.78,143,21,10,43,22,Pakistan,Manchester,1476,35320
217,16,72.72,8054,9284,42.38,86.75,143,21,10,43,22,New Zealand,Nottingham,1480,35320
218,14,42.42,8068,9317,42.24,86.59,143,21,10,43,22,Australia,Galle,1486,35320
219,37,63.79,8105,9375,42.21,86.45,143,21,10,43,22,Sri Lanka,Colombo (RPS),1487,35320
220,120,85.10,8225,9516,42.61,86.43,143,21,10,43,23,Sri Lanka,Colombo (SSC),1490,35320
221,85,118.05,8310,9588,42.83,86.67,143,21,10,44,23,Zimbabwe,Singapore,1493,35320
222,40,61.53,8350,9653,42.82,86.50,143,21,10,44,23,West Indies,Singapore,1495,35320
223,0,0.00,8350,9659,42.60,86.44,143,21,11,44,23,West Indies,Singapore,1496,35320
224,32,103.22,8382,9690,42.54,86.50,143,21,11,44,23,New Zealand,Rajkot,1522,35320
225,186*,124.00,8568,9840,43.49,87.07,186*,22,11,44,24,New Zealand,Hyderabad (Deccan),1523,35320
226,1,4.34,8569,9863,43.27,86.88,186*,22,11,44,24,New Zealand,Gwalior,1524,35320
227,2,20.00,8571,9873,43.07,86.81,186*,22,11,44,24,New Zealand,Guwahati,1525,35320
228,0,0.00,8571,9876,42.85,86.78,186*,22,12,44,24,New Zealand,Delhi,1526,35320
229,13,50.00,8584,9902,42.70,86.68,186*,22,12,44,24,Pakistan,Brisbane,1537,35320
230,12,109.09,8596,9913,42.55,86.71,186*,22,12,44,24,Australia,Melbourne,1539,35320
231,1,9.09,8597,9924,42.34,86.62,186*,22,12,44,24,Australia,Sydney,1540,35320
232,93,90.29,8690,10027,42.59,86.66,186*,22,12,45,24,Pakistan,Hobart,1543,35320
233,41,89.13,8731,10073,42.59,86.67,186*,22,12,45,24,Pakistan,Adelaide,1547,35320
234,18,64.28,8749,10101,42.47,86.61,186*,22,12,45,24,Australia,Adelaide,1548,35320
235,17,121.42,8766,10115,42.34,86.66,186*,22,12,45,24,Pakistan,Perth,1550,35320
236,3,14.28,8769,10136,42.15,86.51,186*,22,12,45,24,Australia,Perth,1552,35320
237,26,104.00,8795,10161,42.08,86.55,186*,22,12,45,24,South Africa,Kochi,1572,35320
238,21,67.74,8816,10192,41.98,86.49,186*,22,12,45,24,South Africa,Jamshedpur,1573,35320
239,12,42.85,8828,10220,41.83,86.37,186*,22,12,45,24,South Africa,Faridabad,1574,35320
240,122,88.40,8950,10358,42.21,86.40,186*,22,12,45,25,South Africa,Vadodara,1575,35320
241,93,104.49,9043,10447,42.45,86.56,186*,22,12,46,25,South Africa,Nagpur,1576,35320
242,5,62.50,9048,10455,42.28,86.54,186*,22,12,46,25,South Africa,Sharjah,1577,35320
243,11,39.28,9059,10483,42.13,86.41,186*,22,12,46,25,Pakistan,Sharjah,1578,35320
244,10,55.55,9069,10501,41.98,86.36,186*,22,12,46,25,Pakistan,Sharjah,1580,35320
245,39,57.35,9108,10569,41.97,86.17,186*,22,12,46,25,South Africa,Sharjah,1581,35320
246,36,144.00,9144,10594,41.94,86.31,186*,22,12,46,25,Bangladesh,Dhaka,1597,35320
247,93,97.89,9237,10689,42.17,86.41,186*,22,12,47,25,Sri Lanka,Dhaka,1598,35320
248,25,83.33,9262,10719,42.10,86.40,186*,22,12,47,25,Pakistan,Dhaka,1600,35320
249,25,71.42,9287,10754,42.02,86.35,186*,22,12,47,25,Kenya,Nairobi (Gym),1630,35320
250,38,102.70,9325,10791,42.00,86.41,186*,22,12,47,25,Australia,Nairobi (Gym),1633,35320
251,39,78.00,9364,10841,41.99,86.37,186*,22,12,47,25,South Africa,Nairobi (Gym),1638,35320
252,69,83.13,9433,10924,42.11,86.35,186*,22,12,48,25,New Zealand,Nairobi (Gym),1639,35320
253,101,72.14,9534,11064,42.37,86.17,186*,22,12,48,26,Sri Lanka,Sharjah,1640,35320
254,8,53.33,9542,11079,42.22,86.12,186*,22,12,48,26,Zimbabwe,Sharjah,1644,35320
255,4,40.00,9546,11089,42.05,86.08,186*,22,12,48,26,Zimbabwe,Sharjah,1648,35320
256,61,112.96,9607,11143,42.13,86.21,186*,22,12,49,26,Sri Lanka,Sharjah,1650,35320
257,5,45.45,9612,11154,41.97,86.17,186*,22,12,49,26,Sri Lanka,Sharjah,1652,35320
258,44,89.79,9656,11203,41.98,86.19,186*,22,12,49,26,Zimbabwe,Cuttack,1656,35320
259,8,40.00,9664,11223,41.83,86.10,186*,22,12,49,26,Zimbabwe,Ahmedabad,1657,35320
260,146,95.42,9810,11376,42.28,86.23,186*,22,12,49,27,Zimbabwe,Jodhpur,1658,35320
261,62,72.09,9872,11462,42.36,86.12,186*,22,12,50,27,Zimbabwe,Kanpur,1659,35320
262,27,71.05,9899,11500,42.30,86.07,186*,22,12,50,27,Zimbabwe,Rajkot,1660,35320
263,35,134.61,9934,11526,42.27,86.18,186*,22,12,50,27,Australia,Bengaluru,1696,35320
264,32,110.34,9966,11555,42.22,86.24,186*,22,12,50,27,Australia,Pune,1698,35320
265,139,111.20,10105,11680,42.63,86.51,186*,22,12,50,28,Australia,Indore,1699,35320
266,62,163.15,10167,11718,42.71,86.76,186*,22,12,51,28,Australia,Visakhapatnam,1700,35320
267,12,80.00,10179,11733,42.58,86.75,186*,22,12,51,28,Australia,Margao,1701,35320
268,70*,100.00,10249,11803,42.88,86.83,186*,23,12,52,28,Zimbabwe,Harare,1729,35320
269,9,33.33,10258,11830,42.74,86.71,186*,23,12,52,28,Zimbabwe,Bulawayo,1730,35320
270,81*,73.63,10339,11940,43.07,86.59,186*,24,12,53,28,West Indies,Bulawayo,1731,35320
271,122*,93.12,10461,12071,43.58,86.66,186*,25,12,53,29,West Indies,Harare,1733,35320
272,0,0.00,10461,12075,43.40,86.63,186*,25,13,53,29,West Indies,Harare,1734,35320
273,101,78.29,10562,12204,43.64,86.54,186*,25,13,53,30,South Africa,Johannesburg,1752,35320
274,38,66.66,10600,12261,43.62,86.45,186*,25,13,53,30,South Africa,Centurion,1757,35320
276,3,15.00,10603,12281,43.45,86.33,186*,25,13,53,30,Kenya,Port Elizabeth,1761,35320
277,37,105.71,10640,12316,43.42,86.39,186*,25,13,53,30,South Africa,East London,1762,35320
278,146,110.60,10786,12448,43.84,86.64,186*,25,13,53,31,Kenya,Paarl,1764,35320
279,17,40.47,10803,12490,43.73,86.49,186*,25,13,53,31,South Africa,Durban,1766,35320
280,36,83.72,10839,12533,43.70,86.48,186*,25,13,53,31,England,Kolkata,1788,35320
281,45,75.00,10884,12593,43.71,86.42,186*,25,13,53,31,England,Cuttack,1792,35320
282,68,86.07,10952,12672,43.80,86.42,186*,25,13,54,31,England,Chennai,1795,35320
283,87*,129.85,11039,12739,44.15,86.65,186*,26,13,55,31,England,Kanpur,1798,35320
