Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id,m1,m2,m3,m4,m5
9.0,60.00,5188.0,6287,40.28,82.66,137.0,14,7,32,11,West Indies,Kingstown,1202,35320,32.0,45.0,13.0,44.0,65.0
1.0,9.09,5197.0,6298,39.98,82.53,137.0,14,7,32,11,West Indies,Bridgetown,1203,35320,45.0,13.0,44.0,65.0,9.0
117.0,85.40,5198.0,6435,40.57,82.59,137.0,14,7,32,11,New Zealand,Bengaluru,1206,35320,13.0,44.0,65.0,9.0,1.0
2.0,50.00,5315.0,6439,40.28,82.57,137.0,14,7,32,12,Sri Lanka,Mumbai,1207,35320,44.0,65.0,9.0,1.0,117.0
4.0,57.14,5317.0,6446,40.0,82.54,137.0,14,7,32,12,Pakistan,Chennai,1209,35320,65.0,9.0,1.0,117.0,2.0
21.0,75.00,5321.0,6474,39.86,82.51,137.0,14,7,32,12,Sri Lanka,Colombo (RPS),1218,35320,9.0,1.0,117.0,2.0,4.0
28.0,133.33,5342.0,6495,39.77,82.67,137.0,14,7,32,12,Bangladesh,Colombo (SSC),1221,35320,1.0,117.0,2.0,4.0,21.0
53.0,79.10,5370.0,6562,39.87,82.64,137.0,14,7,32,12,Sri Lanka,Colombo (RPS),1222,35320,117.0,2.0,4.0,21.0,28.0
27.0,96.42,5423.0,6590,39.78,82.70,137.0,14,7,33,12,Sri Lanka,Colombo (RPS),1223,35320,2.0,4.0,21.0,28.0,53.0
6.0,100.00,5450.0,6596,39.53,82.71,137.0,14,7,33,12,Sri Lanka,Colombo (RPS),1224,35320,4.0,21.0,28.0,53.0,27.0
27.0,87.09,5456.0,6627,39.44,82.73,137.0,14,7,33,12,Sri Lanka,Colombo (SSC),1225,35320,21.0,28.0,53.0,27.0,6.0
39.0,121.87,5483.0,6659,39.44,82.92,137.0,14,7,33,12,Sri Lanka,Colombo (SSC),1226,35320,28.0,53.0,27.0,6.0,27.0
17.0,31.48,5522.0,6713,39.28,82.51,137.0,14,7,33,12,Pakistan,Toronto,1227,35320,53.0,27.0,6.0,27.0,39.0
25.0,55.55,5539.0,6758,39.46,82.33,137.0,14,7,33,12,Pakistan,Toronto,1228,35320,27.0,6.0,27.0,39.0,17.0
0.0,0.00,5564.0,6768,39.18,82.21,137.0,15,7,33,12,Pakistan,Toronto,1230,35320,6.0,27.0,39.0,17.0,25.0
6.0,85.71,5564.0,6775,38.95,82.21,137.0,15,8,33,12,Pakistan,Toronto,1231,35320,27.0,39.0,17.0,25.0,0.0
51.0,79.68,5570.0,6839,39.03,82.19,137.0,15,8,33,12,Pakistan,Toronto,1232,35320,39.0,17.0,25.0,0.0,6.0
2.0,18.18,5621.0,6850,38.77,82.08,137.0,15,8,34,12,Pakistan,Hyderabad (Sind),1233,35320,17.0,25.0,0.0,6.0,51.0
21.0,116.66,5623.0,6868,38.65,82.17,137.0,15,8,34,12,Pakistan,Karachi,1234,35320,25.0,0.0,6.0,51.0,2.0
7.0,63.63,5644.0,6879,38.44,82.14,137.0,15,8,34,12,Pakistan,Lahore,1236,35320,0.0,6.0,51.0,2.0,21.0
91.0,104.59,5651.0,6966,38.79,82.42,137.0,15,8,34,12,England,Sharjah,1259,35320,6.0,51.0,2.0,21.0,7.0
3.0,75.00,5742.0,6970,38.55,82.42,137.0,15,8,35,12,Pakistan,Sharjah,1262,35320,51.0,2.0,21.0,7.0,91.0
1.0,50.00,5745.0,6972,38.3,82.41,137.0,15,8,35,12,West Indies,Sharjah,1264,35320,2.0,21.0,7.0,91.0,3.0
82.0,95.34,5746.0,7058,38.85,82.57,137.0,15,8,35,12,Sri Lanka,Guwahati,1267,35320,21.0,7.0,91.0,3.0,1.0
6.0,46.15,5828.0,7071,38.63,82.50,137.0,16,8,36,12,Sri Lanka,Margao,1269,35320,7.0,91.0,3.0,1.0,82.0
54.0,71.05,5834.0,7147,38.73,82.38,137.0,16,8,36,12,Bangladesh,Dhaka,1271,35320,91.0,3.0,1.0,82.0,6.0
67.0,152.27,5888.0,7191,38.92,82.81,137.0,16,8,37,12,Pakistan,Dhaka,1273,35320,3.0,1.0,82.0,6.0,54.0
95.0,121.79,5955.0,7269,39.28,83.23,137.0,16,8,38,12,Pakistan,Dhaka,1276,35320,1.0,82.0,6.0,54.0,67.0
1.0,16.66,6050.0,7275,39.03,83.17,137.0,16,8,39,12,Pakistan,Dhaka,1277,35320,82.0,6.0,54.0,67.0,95.0
41.0,157.69,6051.0,7301,39.05,83.44,137.0,16,8,39,12,Pakistan,Dhaka,1279,35320,6.0,54.0,67.0,95.0,1.0
8.0,72.72,6092.0,7312,38.85,83.42,137.0,16,8,39,12,Australia,Kochi,1300,35320,54.0,67.0,95.0,1.0,41.0
5.0,29.41,6100.0,7329,38.63,83.29,137.0,16,8,39,12,Zimbabwe,Vadodara,1305,35320,67.0,95.0,1.0,41.0,8.0
100.0,112.35,6105.0,7418,39.02,83.64,137.0,16,8,39,12,Australia,Kanpur,1308,35320,95.0,1.0,41.0,8.0,5.0
