Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
4.0,5317.0,40.0,82.54,137.0,Pakistan,Chennai,65.0,9.0,1.0,117.0,2.0,595,1.0
21.0,5321.0,39.86,82.51,137.0,Sri Lanka,Colombo (RPS),9.0,1.0,117.0,2.0,4.0,595,2.0
28.0,5342.0,39.77,82.67,137.0,Bangladesh,Colombo (SSC),1.0,117.0,2.0,4.0,21.0,595,2.0
53.0,5370.0,39.87,82.64,137.0,Sri Lanka,Colombo (RPS),117.0,2.0,4.0,21.0,28.0,595,3.0
27.0,5423.0,39.78,82.7,137.0,Sri Lanka,Colombo (RPS),2.0,4.0,21.0,28.0,53.0,605,2.0
6.0,5450.0,39.53,82.71,137.0,Sri Lanka,Colombo (RPS),4.0,21.0,28.0,53.0,27.0,605,1.0
27.0,5456.0,39.44,82.73,137.0,Sri Lanka,Colombo (SSC),21.0,28.0,53.0,27.0,6.0,605,2.0
39.0,5483.0,39.44,82.92,137.0,Sri Lanka,Colombo (SSC),28.0,53.0,27.0,6.0,27.0,605,2.0
17.0,5522.0,39.28,82.51,137.0,Pakistan,Toronto,53.0,27.0,6.0,27.0,39.0,605,1.0
25.0,5539.0,39.46,82.33,137.0,Pakistan,Toronto,27.0,6.0,27.0,39.0,17.0,605,2.0
0.0,5564.0,39.18,82.21,137.0,Pakistan,Toronto,6.0,27.0,39.0,17.0,25.0,610,1.0
6.0,5564.0,38.95,82.21,137.0,Pakistan,Toronto,27.0,39.0,17.0,25.0,0.0,605,1.0
51.0,5570.0,39.03,82.19,137.0,Pakistan,Toronto,39.0,17.0,25.0,0.0,6.0,605,3.0
2.0,5621.0,38.77,82.08,137.0,Pakistan,Hyderabad (Sind),17.0,25.0,0.0,6.0,51.0,615,1.0
21.0,5623.0,38.65,82.17,137.0,Pakistan,Karachi,25.0,0.0,6.0,51.0,2.0,615,2.0
7.0,5644.0,38.44,82.14,137.0,Pakistan,Lahore,0.0,6.0,51.0,2.0,21.0,615,1.0
91.0,5651.0,38.79,82.42,137.0,England,Sharjah,6.0,51.0,2.0,21.0,7.0,615,5.0
3.0,5742.0,38.55,82.42,137.0,Pakistan,Sharjah,51.0,2.0,21.0,7.0,91.0,625,1.0
1.0,5745.0,38.3,82.41,137.0,West Indies,Sharjah,2.0,21.0,7.0,91.0,3.0,625,1.0
82.0,5746.0,38.85,82.57,137.0,Sri Lanka,Guwahati,21.0,7.0,91.0,3.0,1.0,625,5.0
6.0,5828.0,38.63,82.5,137.0,Sri Lanka,Margao,7.0,91.0,3.0,1.0,82.0,640,1.0
54.0,5834.0,38.73,82.38,137.0,Bangladesh,Dhaka,91.0,3.0,1.0,82.0,6.0,640,3.0
67.0,5888.0,38.92,82.81,137.0,Pakistan,Dhaka,3.0,1.0,82.0,6.0,54.0,650,4.0
95.0,5955.0,39.28,83.23,137.0,Pakistan,Dhaka,1.0,82.0,6.0,54.0,67.0,660,5.0
1.0,6050.0,39.03,83.17,137.0,Pakistan,Dhaka,82.0,6.0,54.0,67.0,95.0,670,1.0
41.0,6051.0,39.05,83.44,137.0,Pakistan,Dhaka,6.0,54.0,67.0,95.0,1.0,670,3.0
8.0,6092.0,38.85,83.42,137.0,Australia,Kochi,54.0,67.0,95.0,1.0,41.0,670,1.0
5.0,6100.0,38.63,83.29,137.0,Zimbabwe,Vadodara,67.0,95.0,1.0,41.0,8.0,670,1.0
100.0,6105.0,39.02,83.64,137.0,Australia,Kanpur,95.0,1.0,41.0,8.0,5.0,670,6.0
1.0,6205.0,38.78,83.63,137.0,Zimbabwe,Cuttack,1.0,41.0,8.0,5.0,100.0,690,1.0
15.0,6206.0,38.63,83.57,137.0,Australia,Delhi,41.0,8.0,5.0,100.0,1.0,690,1.0
40.0,6221.0,38.64,83.64,137.0,New Zealand,Sharjah,8.0,5.0,100.0,1.0,15.0,690,3.0
80.0,6261.0,38.9,83.9,137.0,Australia,Sharjah,5.0,100.0,1.0,15.0,40.0,690,5.0
38.0,6341.0,38.89,83.76,137.0,New Zealand,Sharjah,100.0,1.0,15.0,40.0,80.0,700,2.0
143.0,6379.0,39.52,84.19,143.0,Australia,Sharjah,1.0,15.0,40.0,80.0,38.0,700,6.0
134.0,6522.0,40.09,84.49,143.0,Australia,Sharjah,15.0,40.0,80.0,38.0,143.0,720,6.0
33.0,6656.0,40.05,84.6,143.0,Bangladesh,Mumbai,40.0,80.0,38.0,143.0,134.0,740,2.0
18.0,6689.0,39.92,84.56,143.0,Kenya,Gwalior,80.0,38.0,143.0,134.0,33.0,740,1.0
100.0,6707.0,40.51,84.72,143.0,Kenya,Kolkata,38.0,143.0,134.0,33.0,18.0,740,6.0
65.0,6807.0,40.66,85.0,143.0,Sri Lanka,Colombo (RPS),143.0,134.0,33.0,18.0,100.0,765,4.0
53.0,6872.0,40.73,85.28,143.0,New Zealand,Colombo (RPS),134.0,33.0,18.0,100.0,65.0,775,3.0
17.0,6925.0,40.59,85.32,143.0,Sri Lanka,Colombo (SSC),33.0,18.0,100.0,65.0,53.0,785,1.0
128.0,6942.0,41.1,85.52,143.0,Sri Lanka,Colombo (RPS),18.0,100.0,65.0,53.0,17.0,785,6.0
77.0,7070.0,41.31,85.32,143.0,Pakistan,Toronto,100.0,65.0,53.0,17.0,128.0,805,4.0
127.0,7147.0,42.04,85.51,143.0,Zimbabwe,Bulawayo,65.0,53.0,17.0,128.0,77.0,815,6.0
